TPU_ID,YEAR,nearest_mtr_distance,nearest_mtr_station,nearest_mtr_lat,nearest_mtr_lon,mtr_stations_count,has_mtr_station,mtr_proximity_category,within_500m_buffer,within_1000m_buffer,within_2000m_buffer
195,2016,5307.076917049698,Ocean Park,22.2486,114.1743,0,False,Far (>2km),False,False,False
934,2016,14265.144317708246,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
934,2016,14420.526547011192,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
934,2016,13647.080514961608,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
934,2016,13312.486931248646,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
195,2016,6032.417394073834,Ocean Park,22.2486,114.1743,0,False,Far (>2km),False,False,False
911,2016,4138.641106540269,South Horizons,22.2425,114.1491,0,False,Far (>2km),False,False,False
911,2016,3853.4038763287795,South Horizons,22.2425,114.1491,0,False,Far (>2km),False,False,False
941,2016,13014.430149459353,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
195,2016,6195.584858279455,Ocean Park,22.2486,114.1743,0,False,Far (>2km),False,False,False
911,2016,4783.575403117075,South Horizons,22.2425,114.1491,0,False,Far (>2km),False,False,False
195,2016,5861.240876140273,Ocean Park,22.2486,114.1743,0,False,Far (>2km),False,False,False
912,2016,3954.4428358291607,South Horizons,22.2425,114.1491,0,False,Far (>2km),False,False,False
912,2016,2476.714024662689,South Horizons,22.2425,114.1491,0,False,Far (>2km),False,False,False
197,2016,4768.616357132573,Chai Wan,22.2644,114.2368,0,False,Far (>2km),False,False,False
912,2016,3378.2328535676243,South Horizons,22.2425,114.1491,0,False,Far (>2km),False,False,False
932,2016,8445.071435927497,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
931,2016,8413.431593087753,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
941,2016,8714.862356614949,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
931,2016,10092.80966283266,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
195,2016,4309.03069671631,Ocean Park,22.2486,114.1743,0,False,Far (>2km),False,False,False
196,2016,4224.251419852894,Chai Wan,22.2644,114.2368,0,False,Far (>2km),False,False,False
912,2016,4071.660186123598,South Horizons,22.2425,114.1491,0,False,Far (>2km),False,False,False
197,2016,5387.076609311964,Chai Wan,22.2644,114.2368,0,False,Far (>2km),False,False,False
196,2016,4548.995309694185,Chai Wan,22.2644,114.2368,0,False,Far (>2km),False,False,False
912,2016,4183.1089460613275,South Horizons,22.2425,114.1491,0,False,Far (>2km),False,False,False
197,2016,4298.7050326710505,Chai Wan,22.2644,114.2368,0,False,Far (>2km),False,False,False
197,2016,4396.598889649219,Chai Wan,22.2644,114.2368,0,False,Far (>2km),False,False,False
195,2016,5047.102657916087,Ocean Park,22.2486,114.1743,0,False,Far (>2km),False,False,False
195,2016,5329.431156711159,Ocean Park,22.2486,114.1743,0,False,Far (>2km),False,False,False
195,2016,4845.193954985658,Ocean Park,22.2486,114.1743,0,False,Far (>2km),False,False,False
195,2016,4713.027263938,Ocean Park,22.2486,114.1743,0,False,Far (>2km),False,False,False
941,2016,9170.665103730444,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
934,2016,13328.74269315479,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
913,2016,9867.570263906337,Chai Wan,22.2644,114.2368,0,False,Far (>2km),False,False,False
934,2016,12638.674212967922,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
934,2016,12578.431657699803,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
934,2016,12735.896335008307,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
934,2016,12350.27213994763,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
913,2016,10913.402441748238,Chai Wan,22.2644,114.2368,0,False,Far (>2km),False,False,False
913,2016,11276.925804383187,Chai Wan,22.2644,114.2368,0,False,Far (>2km),False,False,False
913,2016,11384.321303205992,Chai Wan,22.2644,114.2368,0,False,Far (>2km),False,False,False
934,2016,12235.008186776719,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
913,2016,11191.14792127861,Chai Wan,22.2644,114.2368,0,False,Far (>2km),False,False,False
913,2016,10188.436961446821,Chai Wan,22.2644,114.2368,0,False,Far (>2km),False,False,False
913,2016,8911.809232022048,Chai Wan,22.2644,114.2368,0,False,Far (>2km),False,False,False
913,2016,9999.023073152977,Chai Wan,22.2644,114.2368,0,False,Far (>2km),False,False,False
920,2016,12594.898702603605,Disneyland Resort,22.3155,114.0451,0,False,Far (>2km),False,False,False
912,2016,4204.1012408024635,South Horizons,22.2425,114.1491,0,False,Far (>2km),False,False,False
